,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate,total_runs_scored,Dismissal_Count,Total_batting_average
61,DJ Malan,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,100.0,0.0,,26.0,1.0,26.0
62,DJ Mitchell,0.0,33.0,0.0,318.0,0.0,46.0,0.0,228.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,38.0,0.0,28.0,0.0,72.0,351.0,274.0,1.0,51.0,100.0,128.1,8.3,12.05,351.0,13.0,27.0
63,DJ Willey,0.0,18.0,35.0,0.0,0.0,32.0,32.0,0.0,0.0,1.0,3.0,0.0,0.0,66.0,94.0,0.0,0.0,78.0,111.0,0.0,53.0,64.0,4.0,160.0,189.0,82.81,26.4,7.16,53.0,2.0,26.5
64,DL Chahar,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,14.0,0.0,13.0,5.0,315.0,0.0,215.0,146.0,434.0,0.0,318.0,207.0,2.0,3.0,32.0,676.0,959.0,66.67,112.4,8.53,2.0,,
65,DP Conway,0.0,252.0,672.0,0.0,0.0,176.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,669.0,0.0,0.0,0.0,138.12,0.0,,924.0,19.0,48.63157894736842
66,DR Sams,6.0,38.0,0.0,0.0,6.0,40.0,0.0,0.0,1.0,13.0,0.0,0.0,38.0,274.0,0.0,0.0,41.0,407.0,0.0,0.0,44.0,46.0,14.0,312.0,448.0,95.65,52.0,8.62,44.0,8.0,5.5
67,DT Christian,12.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,12.0,19.0,4.0,85.0,132.0,63.16,14.1,9.36,12.0,6.0,2.0
68,Dhruv Jurel,0.0,0.0,152.0,195.0,0.0,0.0,93.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,237.0,0.0,0.0,0.0,146.41,0.0,,347.0,15.0,23.133333333333333
69,E Lewis,151.0,73.0,0.0,0.0,96.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,156.0,0.0,0.0,0.0,143.59,0.0,,224.0,8.0,28.0
70,EJG Morgan,124.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,132.0,0.0,0.0,0.0,93.94,0.0,,124.0,12.0,10.333333333333334
71,F du Plessis,621.0,468.0,730.0,438.0,458.0,377.0,483.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2257.0,1594.0,0.0,0.0,0.0,141.59,0.0,,2257.0,57.0,39.59649122807018
72,FA Allen,6.0,8.0,0.0,0.0,12.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,67.0,24.0,0.0,0.0,91.0,46.0,0.0,0.0,14.0,19.0,2.0,91.0,137.0,73.68,15.1,9.07,14.0,2.0,7.0
73,Fazalhaq Farooqi,0.0,2.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,76.0,86.0,0.0,0.0,114.0,127.0,0.0,3.0,13.0,6.0,162.0,241.0,23.08,27.0,8.93,3.0,,
74,G Coetzee,0.0,0.0,0.0,14.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,396.0,14.0,22.0,13.0,216.0,396.0,63.64,36.0,11.0,14.0,4.0,3.5
75,GD Phillips,26.0,0.0,39.0,0.0,33.0,0.0,22.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,18.0,0.0,21.0,0.0,20.0,0.0,65.0,55.0,2.0,31.0,41.0,118.18,5.1,8.04,65.0,7.0,9.285714285714286
76,GHS Garton,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,2.0,4.0,3.0,97.0,144.0,50.0,16.1,8.94,2.0,1.0,2.0
77,GJ Maxwell,415.0,301.0,400.0,52.0,298.0,184.0,225.0,46.0,3.0,6.0,3.0,6.0,99.0,146.0,64.0,98.0,138.0,169.0,98.0,135.0,1168.0,753.0,18.0,407.0,540.0,155.11,67.5,8.0,1168.0,44.0,26.545454545454547
78,Gulbadin Naib,0.0,0.0,0.0,19.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,126.67,0.0,,19.0,1.0,19.0
79,H Klaasen,0.0,0.0,448.0,479.0,0.0,0.0,262.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,555.0,0.0,0.0,0.0,167.03,0.0,,927.0,21.0,44.142857142857146
80,HC Brook,0.0,0.0,190.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,159.0,0.0,0.0,0.0,119.5,0.0,,190.0,9.0,21.11111111111111
