,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,bowler,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024
236,SE Rutherford,0,33,0,0,0,52,0,0,,,,,,,,,,,,,
237,SH Johnson,0,0,0,6,0,0,0,7,SH Johnson,0,0,0,4,0,0,0,99,0,0,0,162
238,SK Raina,98,0,0,0,87,0,0,0,,,,,,,,,,,,,
239,SM Curran,17,0,276,270,10,0,213,230,SM Curran,9,0,10,16,197,0,299,254,323,0,517,436
240,SN Khan,0,91,53,0,4,69,62,0,,,,,,,,,,,,,
241,SN Thakur,5,120,113,21,6,90,72,18,SN Thakur,19,15,7,5,364,315,132,197,509,527,230,328
242,SO Hetmyer,242,314,299,113,153,221,205,72,,,,,,,,,,,,,
243,SP Jackson,0,23,0,0,0,26,0,0,,,,,,,,,,,,,
244,SP Narine,62,71,21,488,51,40,28,292,SP Narine,16,9,11,17,344,342,296,334,385,333,404,389
245,SPD Smith,152,0,0,0,136,0,0,0,,,,,,,,,,,,,
246,SS Iyer,175,401,0,351,181,310,0,250,,,,,,,,,,,,,
247,SS Prabhudessai,0,67,35,24,0,62,32,19,,,,,,,,,,,,,
248,SS Tiwary,115,0,0,0,99,0,0,0,,,,,,,,,,,,,
249,SV Samson,361,458,362,531,303,321,240,367,,,,,,,,,,,,,
250,SW Billings,0,169,0,0,0,143,0,0,,,,,,,,,,,,,
251,SZ Mulani,0,0,0,1,0,0,0,1,,,,,,,,,,,,,
252,Sachin Baby,7,0,0,0,17,0,0,0,,,,,,,,,,,,,
253,Sameer Rizvi,0,0,0,51,0,0,0,43,,,,,,,,,,,,,
254,Sandeep Sharma,8,0,2,0,7,0,7,0,Sandeep Sharma,3,2,10,13,127,126,290,236,174,166,414,325
255,Sanvir Singh,0,0,11,14,0,0,9,13,,,,,,,,,,,,,
256,Saurav Chauhan,0,0,0,18,0,0,0,16,,,,,,,,,,,,,
257,Shahbaz Ahmed,44,219,42,215,42,197,41,173,Shahbaz Ahmed,4,4,1,7,66,220,42,166,71,356,95,285
258,Shakib Al Hasan,35,0,0,0,35,0,0,0,Shakib Al Hasan,2,0,0,0,109,0,0,0,134,0,0,0
259,Shashank Singh,0,69,0,354,0,47,0,225,Shashank Singh,0,0,0,1,0,13,0,6,0,21,0,5
260,Shivam Mavi,25,3,0,0,21,8,0,0,Shivam Mavi,11,5,0,0,204,142,0,0,262,241,0,0
261,Shivam Singh,0,0,0,2,0,0,0,3,,,,,,,,,,,,,
262,Shubman Gill,430,483,890,426,378,374,582,295,,,,,,,,,,,,,
263,Sikandar Raza,0,0,139,43,0,0,104,39,Sikandar Raza,0,0,3,0,0,0,76,12,0,0,137,22
264,Simarjeet Singh,0,7,0,0,0,8,0,0,Simarjeet Singh,0,4,0,5,0,113,0,80,0,157,0,131
265,Sumit Kumar,0,0,0,18,0,0,0,26,,,,,,,,,,,,,
266,Swapnil Singh,0,0,2,37,0,0,4,22,Swapnil Singh,0,0,0,6,0,0,12,92,0,0,18,135
