,striker,U_n_n,m_a_t,s_e_a,s_t_a,v_e_n,i_n_n,b_a_l,b_a_t,b_o_w,s_t_r,n_o_n,b_o_w,r_u_n,e_x_t,w_i_d,n_o_b,b_y_e,l_e_g,p_e_n,w_i_c,p_l_a,o_t_h,o_t_h,t_o_t,y_e_a
111,111,KA Jamieson,0.9444444444444444,1.3333333333333333,,,,,,,17.0,32.0,,,,,,,94.44444444444444,133.33333333333331,,,,,,
112,112,KA Maharaj,,,,,,,,0.5,,,,,,,,1.0,,,,,,,,50.0
113,113,KA Pollard,1.120481927710843,1.75,1.131578947368421,0.9351851851851852,,,,,93.0,140.0,43.0,101.0,,,,,112.04819277108432,175.0,113.1578947368421,93.51851851851852,,,,
114,114,KD Karthik,1.3235294117647058,1.2409638554216869,1.781512605042017,1.710144927536232,1.3278688524590163,1.3111111111111111,1.6336633663366336,1.7127659574468086,90.0,103.0,212.0,118.0,81.0,59.0,165.0,161.0,132.35294117647058,124.09638554216868,178.1512605042017,171.0144927536232,132.78688524590163,131.11111111111111,163.36633663366337,171.27659574468086
115,115,KH Pandya,0.9761904761904762,1.1764705882352942,1.1111111111111112,1.2988505747126438,1.1494252873563218,1.035294117647059,1.3417721518987342,0.8181818181818182,41.0,80.0,70.0,113.0,100.0,88.0,106.0,27.0,97.61904761904762,117.64705882352942,111.11111111111111,129.8850574712644,114.94252873563218,103.5294117647059,134.17721518987344,81.81818181818183
116,116,KK Ahmed,,0.5,,0.0,,,,,,1.0,,0.0,,,,,,50.0,,0.0,,,,
117,117,KK Nair,,,0.8888888888888888,,,,,,,,16.0,,,,,,,,88.88888888888889,,,,,
118,118,KL Nagarkoti,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,
119,119,KL Rahul,1.1871657754010696,1.3849557522123894,1.4214046822742474,1.1040462427745663,1.176991150442478,1.0522388059701493,1.3076923076923077,1.304878048780488,222.0,313.0,425.0,191.0,133.0,141.0,306.0,214.0,118.71657754010695,138.49557522123894,142.14046822742475,110.40462427745663,117.6991150442478,105.22388059701493,130.76923076923077,130.4878048780488
120,120,KM Asif,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,
121,121,KM Jadhav,1.25,0.9302325581395348,,,1.2,,,,15.0,40.0,,,12.0,,,,125.0,93.02325581395348,,,120.0,,,
122,122,KR Mayers,,,,,1.5034013605442176,1.2248062015503876,,,,,,,221.0,158.0,,,,,,,150.34013605442175,122.48062015503876,,
123,123,KR Sen,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,
124,124,KS Bharat,0.95,1.3267326732673268,,1.1428571428571428,,,,,57.0,134.0,,8.0,,,,,95.0,132.67326732673268,,114.28571428571428,,,,
125,125,KS Sharma,,,,1.0,0.5714285714285714,,,,,,,4.0,12.0,,,,,,,100.0,57.14285714285714,,,
126,126,KS Williamson,1.108910891089109,1.0547945205479452,0.8666666666666667,0.9227272727272728,,,1.181818181818182,0.2,112.0,154.0,13.0,203.0,,,26.0,1.0,110.8910891089109,105.47945205479452,86.66666666666667,92.27272727272728,,,118.1818181818182,20.0
127,127,KV Sharma,,,,,1.0,0.3333333333333333,1.375,2.5,,,,,2.0,1.0,11.0,20.0,,,,,100.0,33.33333333333333,137.5,250.0
128,128,Kartik Tyagi,0.5,,,1.1666666666666667,,,,,2.0,,,7.0,,,,,50.0,,,116.66666666666669,,,,
129,129,Kuldeep Yadav,,,1.0,0.8823529411764706,0.8333333333333334,0.5909090909090909,1.28125,0.5,,,3.0,45.0,5.0,26.0,41.0,6.0,,,100.0,88.23529411764706,83.33333333333334,59.09090909090909,128.125,50.0
130,130,Kumar Kushagra,,,,,,,0.3333333333333333,0.5,,,,,,,1.0,2.0,,,,,,,33.33333333333333,50.0
131,131,L Wood,,,,,,,,3.0,,,,,,,,9.0,,,,,,,,300.0
132,132,LB Williams,,,,,,,0.5,,,,,,,,1.0,,,,,,,,50.0,
133,133,LH Ferguson,,1.3846153846153846,1.25,,,,,1.0,,18.0,5.0,,,,,1.0,,138.46153846153845,125.0,,,,,100.0
134,134,LS Livingstone,1.0294117647058822,0.7777777777777778,1.6391752577319587,1.7761194029850746,1.4285714285714286,1.7472527472527473,1.1891891891891893,1.488888888888889,35.0,7.0,318.0,119.0,120.0,159.0,44.0,67.0,102.94117647058825,77.77777777777779,163.91752577319588,177.61194029850748,142.85714285714286,174.72527472527472,118.91891891891892,148.88888888888889
